id,name,container,cas,mw,solute_smiles,solvent_smiles,solvent_name,dm300,dm300_error,full_smiles
111,mesitylene,CM6,108-67-8,120.19,CC1=CC(=CC(=C1)C)C,CC(O)C,2-Propanol,0.405583166,0.053846441,CC1=CC(=CC(=C1)C)C.CC(O)C
112,Diphenylacetylene,CA150,501-65-5,178.23,C(#Cc1ccccc1)c1ccccc1,CC(O)C,2-Propanol,0.38329577,0.056840159,C(#Cc1ccccc1)c1ccccc1.CC(O)C
113,Triptycene,CB109,477-75-8,254,C1=CC=C2C3C4=CC=CC=C4C(C2=C1)C5=CC=CC=C35,CC(O)C,2-Propanol,0.788050877,0.050981879,C1=CC=C2C3C4=CC=CC=C4C(C2=C1)C5=CC=CC=C35.CC(O)C
114,"1-Bromo-4-methoxy-2,5-dimethylbenzene",CA57,58106-25-5,213.9993271,CC1=C(OC)C=C(C)C(Br)=C1,CC(O)C,2-Propanol,0.459212023,0.087263411,CC1=C(OC)C=C(C)C(Br)=C1.CC(O)C
115,Perfluorobenzophenone,CB148,853-39-4,361.9789468,O=C(C1=C(F)C(F)=C(F)C(F)=C1F)C2=C(F)C(F)=C(F)C(F)=C2F,CC(O)C,2-Propanol,0.794116984,0.030788085,O=C(C1=C(F)C(F)=C(F)C(F)=C1F)C2=C(F)C(F)=C(F)C(F)=C2F.CC(O)C
116,4-tert-Butylstyrene,RB56,1746-23-2,160.26,C=Cc1ccc(C(C)(C)C)cc1,CC(O)C,2-Propanol,0.464449926,0.104878395,C=Cc1ccc(C(C)(C)C)cc1.CC(O)C
117,"4,5-Dibromo-o-xylene",CB53,24932-48-7,261.8992745,CC1=CC(Br)=C(Br)C=C1C,CC(O)C,2-Propanol,0.490204533,0.054399254,CC1=CC(Br)=C(Br)C=C1C.CC(O)C
118,"2-Ethylhexyl 2-cyano-3,3-diphenylacrylate",CA81,6197-30-4,361.48,CCCCC(CC)COC(=O)C(C#N)=C(c1ccccc1)c1ccccc1,CC(O)C,2-Propanol,0.7315539,0.056361973,CCCCC(CC)COC(=O)C(C#N)=C(c1ccccc1)c1ccccc1.CC(O)C
119,"2,4-Diphenyl-4-methyl-1-pentene",CJ63,6362-80-7,236.35,CC(C)(CC(=C)C1=CC=CC=C1)C2=CC=CC=C2,CC(O)C,2-Propanol,0.739786877,0.048234306,CC(C)(CC(=C)C1=CC=CC=C1)C2=CC=CC=C2.CC(O)C
120,Avobenzone Pharmaceutical Secondary Stan (Avobenzone),AP12,70356-09-1,310.1568946,CC(C)(C)C1=CC=C(C=C1)C(=O)CC(=O)C2=CC=C(C=C2)OC,CC(O)C,2-Propanol,0.703594816,0.09954109,CC(C)(C)C1=CC=C(C=C1)C(=O)CC(=O)C2=CC=C(C=C2)OC.CC(O)C
121,isodrine,rb57,465-73-6,365,C1C2C=CC1C3C2C4(C(=C(C3(C4(Cl)Cl)Cl)Cl)Cl)Cl,CC(O)C,2-Propanol,0.810435199,0.017952221,C1C2C=CC1C3C2C4(C(=C(C3(C4(Cl)Cl)Cl)Cl)Cl)Cl.CC(O)C
122,2-Aminopyridine,CP27,504-29-0,94,C1=CC=NC(=C1)N,CCO,Ethanol,0.131561257,0.024910904,C1=CC=NC(=C1)N.CCO
123,5-Aminoindole,CA38,5192-03-0,132.16,Nc1ccc2[nH]ccc2c1,CCO,Ethanol,0.460499454,0.039953831,Nc1ccc2[nH]ccc2c1.CCO
124,4-Acetoamidophenol,AP37,103-90-2,151,OC1=CC=C(NC(C)=O)C=C1,CCO,Ethanol,0.70845999,0.020664365,OC1=CC=C(NC(C)=O)C=C1.CCO
125,"1-Phenyl-1,2-ethanediol",CC79,93-56-1,138,C1=CC=C(C=C1)C(CO)O,CCO,Ethanol,0.435359272,0.007007975,C1=CC=C(C=C1)C(CO)O.CCO
126,p-Anisidine,CQ24,104-94-9,123.0684139,NC1=CC=C(OC)C=C1,CCO,Ethanol,0.255961843,0.01395887,NC1=CC=C(OC)C=C1.CCO
127,3-Fluoroaniline,CB145,372-19-0,111.0484274,NC1=CC=CC(F)=C1,CCO,Ethanol,0.248923724,0.007299059,NC1=CC=CC(F)=C1.CCO
128,Benzimidazole,CC12,51-17-2,118.0530982,C12=CC=CC=C1NC=N2,CCO,Ethanol,0.238729241,0.018218489,C12=CC=CC=C1NC=N2.CCO
129,7-Fluoroisatin,CB139,317-20-4,165.0226066,O=C1NC2=C(C=CC=C2F)C1=O,CCO,Ethanol,0.657678106,0.020515601,O=C1NC2=C(C=CC=C2F)C1=O.CCO
130,2-phenylbutanoic acid,CK 18,90-27-7,164,CCC(C1=CC=CC=C1)C(=O)O,CCO,Ethanol,0.812029942,0.012489372,CCC(C1=CC=CC=C1)C(=O)O.CCO
131,2-Phenylbutyric acid,CK18,90-27-7,164.2,CCC(C(=O)O)c1ccccc1,CCO,Ethanol,0.812029946,0.007151953,CCC(C(=O)O)c1ccccc1.CCO
132,CIPROFLOXACIN,AP40,85721-33-1,331.3,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,CCO,Ethanol,1.003525647,0.000507514,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O.CCO
133,2-bromo-6-nitrophenol,CB150,13073-25-1,216.9374551,OC1=C([N+]([O-])=O)C=CC=C1Br,CCO,Ethanol,0.445474527,0.007870439,OC1=C([N+]([O-])=O)C=CC=C1Br.CCO
134,"2,6-Lutidine",CC50,108-48-5,107,CC1=NC(C)=CC=C1,CCO,Ethanol,0.365994425,0.019916576,CC1=NC(C)=CC=C1.CCO
135,"3,5-Difluorobenzonitrile",CA78,64248-63-1,139.0233555,N#CC1=CC(F)=CC(F)=C1,CCO,Ethanol,0.46643031,0.011332017,N#CC1=CC(F)=CC(F)=C1.CCO
136,m-Cresol GPR RECTAPUR�,"CM23, Y1, Y10",108-39-4,108.0575149,CC1=CC(O)=CC=C1,CCO,Ethanol,0.406570381,0.009442266,CC1=CC(O)=CC=C1.CCO
137,Oxolinic acid,RB41,14698-29-4,261.0637225,CCN(C1=CC2=C(C=C1C3=O)OCO2)C=C3C(O)=O,CCO,Ethanol,0.947675108,0.003952377,CCN(C1=CC2=C(C=C1C3=O)OCO2)C=C3C(O)=O.CCO
138,(R)-(_)-1-Indanol,CA170,697-64-3,134,C1CC2=CC=CC=C2C1O,CCO,Ethanol,0.471408906,0.019958963,C1CC2=CC=CC=C2C1O.CCO
139,Piroxicam,RB38,36322-90-4,307.14514,CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O,CCO,Ethanol,0.937973691,0.003401682,CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O.CCO
140,"2,4,6-trimethylbenzene-1,3,5-tricarbaldehyde",CA188,119198-88-8,204.22,Cc1c(C=O)c(C)c(C=O)c(C)c1C=O,CCO,Ethanol,0.775143996,0.019715778,Cc1c(C=O)c(C)c(C=O)c(C)c1C=O.CCO
141,"2,5 dimethyl anilin",CC46,95-78-3,121.0891494,NC1=CC(C)=CC=C1C,CCO,Ethanol,0.487985217,0.010256762,NC1=CC(C)=CC=C1C.CCO
142,2-BROMO-1-PHENYLETHAN-1-OL,CA228,2425-28-7,201.1,C1=CC=C(C=C1)C(CBr)O,CCO,Ethanol,0.420208328,0.013844105,C1=CC=C(C=C1)C(CBr)O.CCO
143,"4,4-(Hexafluoroisopropylidene)bis(benzoic acid)",CA36,1171-47-7,392.0483281,FC(F)(F)C(C1=CC=C(C=C1)C(O)=O)(C2=CC=C(C=C2)C(O)=O)C(F)(F)F,CCO,Ethanol,0.933704795,0.000483149,FC(F)(F)C(C1=CC=C(C=C1)C(O)=O)(C2=CC=C(C=C2)C(O)=O)C(F)(F)F.CCO
144,6-BROMOOXINDOLE,CA121,99365-40-9,210.9632759,O=C1NC2=C(C=CC(Br)=C2)C1,CCO,Ethanol,0.681047708,0.017449254,O=C1NC2=C(C=CC(Br)=C2)C1.CCO
145,"2,5-Dimethylphenol",CQ44,95-87-4,122,OC1=CC(C)=CC=C1C,CCO,Ethanol,0.551137106,0.007559403,OC1=CC(C)=CC=C1C.CCO
146,"4,5-dichlorophthalonitrile",CP8,139152-08-2,197,C1=C(C(=CC(=C1Cl)Cl)C#N)C#N,CCO,Ethanol,0.617646992,0.020312752,C1=C(C(=CC(=C1Cl)Cl)C#N)C#N.CCO
147,"2,5-Dimethylphenol",CQ25,95-87-4,122.0731649,OC1=CC(C)=CC=C1C,CCO,Ethanol,0.551137106,0.01120703,OC1=CC(C)=CC=C1C.CCO
148,"3,4-Dichloroaniline",CB90,95-76-1,160.98,NC1=CC=C(Cl)C(Cl)=C1,CCO,Ethanol,0.419070516,0.006214947,NC1=CC=C(Cl)C(Cl)=C1.CCO
149,Phenylacetylene,RB13,536-74-3,102.13,C#Cc1ccccc1,CCO,Ethanol,0.184924259,0.019464013,C#Cc1ccccc1.CCO
150,1-(4-BROMOPHENYL)ETHANOL,RC22,5391-88-8,201.1,CC(C1=CC=C(C=C1)Br)O,CCO,Ethanol,0.430002197,0.020370153,CC(C1=CC=C(C=C1)Br)O.CCO
151,pyrimethanie (mebendazole),RB23,31431-39-7,295.0956913,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CC=C3,CCO,Ethanol,0.954801085,0.001298439,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CC=C3.CCO
152,"2,5-dibromo-3,4-dinitrothiophene",CA29,52431-30-8,329.79,O=[N+](C1=C(Br)SC(Br)=C1[N+]([O-])=O)[O-],CCO,Ethanol,0.656413478,0.021091827,O=[N+](C1=C(Br)SC(Br)=C1[N+]([O-])=O)[O-].CCO
153,"1,3,5-Tris(4-aminophenyl)benzene",CA144,118727-34-7,351.44,Nc1ccc(-c2cc(-c3ccc(N)cc3)cc(-c3ccc(N)cc3)c2)cc1,CCO,Ethanol,0.922361438,0.003817057,Nc1ccc(-c2cc(-c3ccc(N)cc3)cc(-c3ccc(N)cc3)c2)cc1.CCO
154,4-Chloroindole,"CE3, RSY39",25235-85-2,151.6,C1=CC2=C(C=CN2)C(=C1)Cl,CCO,Ethanol,0.45359565,0.009430217,C1=CC2=C(C=CN2)C(=C1)Cl.CCO
155,2-Pheylphenol,CQ4,90-43-7,170.0731649,OC1=CC=CC=C1C2=CC=CC=C2,CCO,Ethanol,0.671624381,0.021300403,OC1=CC=CC=C1C2=CC=CC=C2.CCO
156,5-chlorosalicylanilide,CE19,4638-48-6,247.7,C1=CC=C(C=C1)NC(=O)C2=C(C=CC(=C2)Cl)O,CCO,Ethanol,0.828844994,0.009588142,C1=CC=C(C=C1)NC(=O)C2=C(C=CC(=C2)Cl)O.CCO
157,Amlodipine,CE22,88150-42-9,408.9,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN,CCO,Ethanol,0.936831708,0.001880929,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN.CCO
158,4-Bromoanisole,CC23,104-92-7,185.9680269,COC1=CC=C(Br)C=C1,CCO,Ethanol,0.23881482,0.009721831,COC1=CC=C(Br)C=C1.CCO
159,Methyl 4-bromobenzoate,CJ70,619-42-1,215.05,BrC1=CC=C(C(OC)=O)C=C1,CCO,Ethanol,0.475237462,0.007864655,BrC1=CC=C(C(OC)=O)C=C1.CCO
160,"4,4'-Difluorobenzophenone",CO28,345-92-6,218,O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2,CCO,Ethanol,0.706973901,0.007994973,O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2.CCO
161,Benzbromarone,RB30,3562-84-3,421.9153184,O=C(C1=CC(Br)=C(O)C(Br)=C1)C2=C(OC3=C2C=CC=C3)CC,CCO,Ethanol,0.955874354,0.009936658,O=C(C1=CC(Br)=C(O)C(Br)=C1)C2=C(OC3=C2C=CC=C3)CC.CCO
162,Fenbendazole,RB24,43210-67-9,299.0728477,COC(NC1=NC2=C(C=C(SC3=CC=CC=C3)C=C2)N1)=O,CCO,Ethanol,0.921966269,0.007648742,COC(NC1=NC2=C(C=C(SC3=CC=CC=C3)C=C2)N1)=O.CCO
163,2-Hydroxy-4-methoxybenzophenone,CC 19,131-57-7,228,COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O,CCO,Ethanol,0.831685593,0.015280884,COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O.CCO
164,Rifaximin,AP63,80621-81-4,785.9,C[C@H]1/C=C/C=C(\C(=O)NC2=C(C3=C(C4=C(C(=C3O)C)O[C@@](C4=O)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C5=C2N6C=CC(=CC6=N5)C)O)/C,CCO,Ethanol,0.97488743,0.000714051,C[C@H]1/C=C/C=C(\C(=O)NC2=C(C3=C(C4=C(C(=C3O)C)O[C@@](C4=O)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C5=C2N6C=CC(=CC6=N5)C)O)/C.CCO
165,9-(2-Hydroxyethyl)anthracene,CA139,54060-73-0,222.1044651,OCCC1=C2C=CC=CC2=CC3=CC=CC=C13,CCO,Ethanol,0.877040127,0.005629758,OCCC1=C2C=CC=CC2=CC3=CC=CC=C13.CCO
166,4-Iodotoluene,CB87,624-31-7,218.03,Cc1ccc(I)cc1,CCO,Ethanol,0.237484732,0.007040475,Cc1ccc(I)cc1.CCO
167,Tebuconazole,RB40,107534-96-3,307.14514,CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O,CCO,Ethanol,0.937973691,0.005545908,CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O.CCO
168,Fluorene,CB78,86-73-7,166.22,c1ccc2c(c1)Cc1ccccc1-2,CCO,Ethanol,0.666063956,0.024221944,c1ccc2c(c1)Cc1ccccc1-2.CCO
169,mesitylene,CM6,108-67-8,120.19,CC1=CC(=CC(=C1)C)C,CCO,Ethanol,0.627310271,0.018335394,CC1=CC(=CC(=C1)C)C.CCO
170,Diphenylacetylene,CA150,501-65-5,178.23,C(#Cc1ccccc1)c1ccccc1,CCO,Ethanol,0.586883951,0.027683486,C(#Cc1ccccc1)c1ccccc1.CCO
171,Triptycene,CB109,477-75-8,254,C1=CC=C2C3C4=CC=CC=C4C(C2=C1)C5=CC=CC=C35,CCO,Ethanol,0.932877052,0.005685894,C1=CC=C2C3C4=CC=CC=C4C(C2=C1)C5=CC=CC=C35.CCO
172,"1-Bromo-4-methoxy-2,5-dimethylbenzene",CA57,58106-25-5,213.9993271,CC1=C(OC)C=C(C)C(Br)=C1,CCO,Ethanol,0.699492842,0.029115005,CC1=C(OC)C=C(C)C(Br)=C1.CCO
173,4-tert-Butylstyrene,RB56,1746-23-2,160.26,C=Cc1ccc(C(C)(C)C)cc1,CCO,Ethanol,0.695882061,0.027452522,C=Cc1ccc(C(C)(C)C)cc1.CCO
174,"4,5-Dibromo-o-xylene",CB53,24932-48-7,261.8992745,CC1=CC(Br)=C(Br)C=C1C,CCO,Ethanol,0.731549711,0.012236154,CC1=CC(Br)=C(Br)C=C1C.CCO
175,"2-Ethylhexyl 2-cyano-3,3-diphenylacrylate",CA81,6197-30-4,361.48,CCCCC(CC)COC(=O)C(C#N)=C(c1ccccc1)c1ccccc1,CCO,Ethanol,0.847861019,0.007627189,CCCCC(CC)COC(=O)C(C#N)=C(c1ccccc1)c1ccccc1.CCO
176,"2,4-Diphenyl-4-methyl-1-pentene",CJ63,6362-80-7,236.35,CC(C)(CC(=C)C1=CC=CC=C1)C2=CC=CC=C2,CCO,Ethanol,0.91653169,0.004610519,CC(C)(CC(=C)C1=CC=CC=C1)C2=CC=CC=C2.CCO
177,Avobenzone Pharmaceutical Secondary Stan (Avobenzone),AP12,70356-09-1,310.1568946,CC(C)(C)C1=CC=C(C=C1)C(=O)CC(=O)C2=CC=C(C=C2)OC,CCO,Ethanol,0.851419903,0.015875305,CC(C)(C)C1=CC=C(C=C1)C(=O)CC(=O)C2=CC=C(C=C2)OC.CCO
178,5-Aminoindole,CA38,5192-03-0,132.16,Nc1ccc2[nH]ccc2c1,CC1=CC=CC=C1,Toluene,0.048768792,0.036976048,Nc1ccc2[nH]ccc2c1.CC1=CC=CC=C1
179,4-Aminobenzonitrile,CA119,873-74-5,118.0530982,N#CC1=CC=C(N)C=C1,CC1=CC=CC=C1,Toluene,-0.062868502,0.035489941,N#CC1=CC=C(N)C=C1.CC1=CC=CC=C1
180,"1-Phenyl-1,2-ethanediol",CC79,93-56-1,138,C1=CC=C(C=C1)C(CO)O,CC1=CC=CC=C1,Toluene,0.017446413,0.123399954,C1=CC=C(C=C1)C(CO)O.CC1=CC=CC=C1
181,"1,3-Dimethyl-3,4,5,6-tetrahydro-2(1H)-pyrimidinone",CR28,7226-23-5,128.2,CN1CCCN(C1=O)C,CC1=CC=CC=C1,Toluene,0.078495091,0.041990771,CN1CCCN(C1=O)C.CC1=CC=CC=C1
182,p-Anisidine,CQ24,104-94-9,123.0684139,NC1=CC=C(OC)C=C1,CC1=CC=CC=C1,Toluene,-0.101916507,0.029398504,NC1=CC=C(OC)C=C1.CC1=CC=CC=C1
183,p-Anisidine,CQ24,104-94-9,123.0684139,NC1=CC=C(OC)C=C1,CC1=CC=CC=C1,Toluene,-0.101916507,0.19820991,NC1=CC=C(OC)C=C1.CC1=CC=CC=C1
184,3-Fluoroaniline,CB145,372-19-0,111.0484274,NC1=CC=CC(F)=C1,CC1=CC=CC=C1,Toluene,-0.113614982,0.027265062,NC1=CC=CC(F)=C1.CC1=CC=CC=C1
185,"3,4-Dimethoxyaniline",CC63,6315-89-5,153.0789786,NC1=CC=C(OC)C(OC)=C1,CC1=CC=CC=C1,Toluene,0.117166692,0.028260189,NC1=CC=C(OC)C(OC)=C1.CC1=CC=CC=C1
186,5-Methylfurfural ,CJ54,620-02-0,110.0367794,O=CC1=CC=C(C)O1,CC1=CC=CC=C1,Toluene,-0.021114122,0.098901679,O=CC1=CC=C(C)O1.CC1=CC=CC=C1
187,2-Methylpyridine,CD8,109-06-8,93.05784922,CC1=NC=CC=C1,CC1=CC=CC=C1,Toluene,-0.186024723,0.030067244,CC1=NC=CC=C1.CC1=CC=CC=C1
188,2-Phenylimidazole,CQ11,670-96-2,144.0687483,C1(C2=CC=CC=C2)=NC=CN1,CC1=CC=CC=C1,Toluene,0.054666553,0.026595614,C1(C2=CC=CC=C2)=NC=CN1.CC1=CC=CC=C1
189,Acetamiprid,AP44,160430-64-8,222.7,CC(=NC#N)N(C)CC1=CN=C(C=C1)Cl,CC1=CC=CC=C1,Toluene,0.389865026,0.030714191,CC(=NC#N)N(C)CC1=CN=C(C=C1)Cl.CC1=CC=CC=C1
190,N-Methylformanilide,CK44,93-61-8,135.16,CN(C=O)C1=CC=CC=C1,CC1=CC=CC=C1,Toluene,0.016938816,0.030301021,CN(C=O)C1=CC=CC=C1.CC1=CC=CC=C1
191,"4,4'-Bipyridine",CA172,553-26-4,156.0687483,C1(C2=CC=NC=C2)=CC=NC=C1,CC1=CC=CC=C1,Toluene,0.038702135,0.037444682,C1(C2=CC=NC=C2)=CC=NC=C1.CC1=CC=CC=C1
192,"3,5-Difluorobenzonitrile",CA78,64248-63-1,139.0233555,N#CC1=CC(F)=CC(F)=C1,CC1=CC=CC=C1,Toluene,0.068037881,0.019703045,N#CC1=CC(F)=CC(F)=C1.CC1=CC=CC=C1
193,m-Cresol GPR RECTAPUR�,"CM23, Y1, Y10",108-39-4,108.0575149,CC1=CC(O)=CC=C1,CC1=CC=CC=C1,Toluene,-0.027256446,0.050453788,CC1=CC(O)=CC=C1.CC1=CC=CC=C1
194,"2,5- Difluoronitrobenzene",CB125,364-74-9,159.0131848,FC1=CC=C(F)C([N+]([O-])=O)=C1,CC1=CC=CC=C1,Toluene,0.008041653,0.023395463,FC1=CC=C(F)C([N+]([O-])=O)=C1.CC1=CC=CC=C1
195,"alpha, alpha-Dipyridyl",CA113,75216-45-4,156.1,C1(C2=NC=CC=C2)=CC=CC=N1,CC1=CC=CC=C1,Toluene,0.034859927,0.058850769,C1(C2=NC=CC=C2)=CC=CC=N1.CC1=CC=CC=C1
196,(R)-(_)-1-Indanol,CA170,697-64-3,134,C1CC2=CC=CC=C2C1O,CC1=CC=CC=C1,Toluene,0.047988762,0.027360338,C1CC2=CC=CC=C2C1O.CC1=CC=CC=C1
197,Tetrafluoroterephthalonitrile,CC44,1835-49-0,199.9997609,N#CC1=C(F)C(F)=C(C#N)C(F)=C1F,CC1=CC=CC=C1,Toluene,0.4087212,0.062861848,N#CC1=C(F)C(F)=C(C#N)C(F)=C1F.CC1=CC=CC=C1
198,1-Indanol,CB65,10/6/6351,134.0731649,OC1CCC2=C1C=CC=C2,CC1=CC=CC=C1,Toluene,0.047988775,0.040267592,OC1CCC2=C1C=CC=C2.CC1=CC=CC=C1
199,6-BROMOOXINDOLE,CA121,99365-40-9,210.9632759,O=C1NC2=C(C=CC(Br)=C2)C1,CC1=CC=CC=C1,Toluene,0.237487244,0.041411104,O=C1NC2=C(C=CC(Br)=C2)C1.CC1=CC=CC=C1
200,"1,2,3,4-Tetrahydro-1-naphthol",CB115,529-33-9,148.088815,OC1CCCC2=C1C=CC=C2,CC1=CC=CC=C1,Toluene,0.062256242,0.089132807,OC1CCCC2=C1C=CC=C2.CC1=CC=CC=C1
201,(+)-Quinidine,CA108,56-54-2,324.42,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,CC1=CC=CC=C1,Toluene,0.750505195,0.015968891,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12.CC1=CC=CC=C1
202,"2,5-Dimethylphenol",CQ44,95-87-4,122,OC1=CC(C)=CC=C1C,CC1=CC=CC=C1,Toluene,0.08702092,0.036360271,OC1=CC(C)=CC=C1C.CC1=CC=CC=C1
203,"3,4-Dichloroaniline",CB90,95-76-1,160.98,NC1=CC=C(Cl)C(Cl)=C1,CC1=CC=CC=C1,Toluene,0.015023413,0.021551045,NC1=CC=C(Cl)C(Cl)=C1.CC1=CC=CC=C1
204,Phenylacetylene,RB13,536-74-3,102.13,C#Cc1ccccc1,CC1=CC=CC=C1,Toluene,-0.151681369,0.033598593,C#Cc1ccccc1.CC1=CC=CC=C1
205,Flavanone,CB140,487-26-3,224.0837296,O=C1CC(C2=CC=CC=C2)OC3=C1C=CC=C3,CC1=CC=CC=C1,Toluene,0.24929974,0.015132611,O=C1CC(C2=CC=CC=C2)OC3=C1C=CC=C3.CC1=CC=CC=C1
206,"4,4-(Hexafluoroisopropylidene)diphenol",CJ31,1478-61-1,336.0584989,FC(F)(F)C(C1=CC=C(O)C=C1)(C2=CC=C(O)C=C2)C(F)(F)F,CC1=CC=CC=C1,Toluene,0.580788491,0.054173669,FC(F)(F)C(C1=CC=C(O)C=C1)(C2=CC=C(O)C=C2)C(F)(F)F.CC1=CC=CC=C1
207,"1,4-dibromo-2,5-dimethoxybenzene",CB130,2674-34-2,293.8891037,COC1=C(Br)C=C(OC)C(Br)=C1,CC1=CC=CC=C1,Toluene,0.306378945,0.017233675,COC1=C(Br)C=C(OC)C(Br)=C1.CC1=CC=CC=C1
208,2-Hydroxy-4-methoxybenzophenone,CC19,131-57-7,228.0786442,O=C(C1=CC=CC=C1)C2=CC=C(OC)C=C2O,CC1=CC=CC=C1,Toluene,0.46255313,0.023649871,O=C(C1=CC=CC=C1)C2=CC=C(OC)C=C2O.CC1=CC=CC=C1
209,9-(2-Hydroxyethyl)anthracene,CA139,54060-73-0,222.1044651,OCCC1=C2C=CC=CC2=CC3=CC=CC=C13,CC1=CC=CC=C1,Toluene,0.512453494,0.018708142,OCCC1=C2C=CC=CC2=CC3=CC=CC=C13.CC1=CC=CC=C1
210,Biphenyl,N53,92-52-4,154.21,c1ccc(-c2ccccc2)cc1,CC1=CC=CC=C1,Toluene,0.072678617,0.037654989,c1ccc(-c2ccccc2)cc1.CC1=CC=CC=C1
211,1-Methylnaphthalene,CC25,90-12-0,142,CC1=CC=CC2=CC=CC=C12,CC1=CC=CC=C1,Toluene,0.068618674,0.040705116,CC1=CC=CC2=CC=CC=C12.CC1=CC=CC=C1
212,Fluorene,CB78,86-73-7,166.22,c1ccc2c(c1)Cc1ccccc1-2,CC1=CC=CC=C1,Toluene,0.261110338,0.040456316,c1ccc2c(c1)Cc1ccccc1-2.CC1=CC=CC=C1
213,mesitylene,CM6,108-67-8,120.19,CC1=CC(=CC(=C1)C)C,CC1=CC=CC=C1,Toluene,0.146169646,0.061102827,CC1=CC(=CC(=C1)C)C.CC1=CC=CC=C1
214,N-Phenyl-1-naphthylamine,CJ92,90-30-2,219.3,C1=CC=C(C=C1)NC2=CC=CC3=CC=CC=C32,CC1=CC=CC=C1,Toluene,0.359095539,0.01699958,C1=CC=C(C=C1)NC2=CC=CC3=CC=CC=C32.CC1=CC=CC=C1
215,Diphenylacetylene,CA150,501-65-5,178.23,C(#Cc1ccccc1)c1ccccc1,CC1=CC=CC=C1,Toluene,0.211496072,0.024204109,C(#Cc1ccccc1)c1ccccc1.CC1=CC=CC=C1
216,Triptycene,CB109,477-75-8,254,C1=CC=C2C3C4=CC=CC=C4C(C2=C1)C5=CC=CC=C35,CC1=CC=CC=C1,Toluene,0.630378588,0.043681548,C1=CC=C2C3C4=CC=CC=C4C(C2=C1)C5=CC=CC=C35.CC1=CC=CC=C1
217,"1-Bromo-4-methoxy-2,5-dimethylbenzene",CA57,58106-25-5,213.9993271,CC1=C(OC)C=C(C)C(Br)=C1,CC1=CC=CC=C1,Toluene,0.261764122,0.031684227,CC1=C(OC)C=C(C)C(Br)=C1.CC1=CC=CC=C1
218,"2,5-Di-tert-butylhydroquinone",CB114,88-58-4,222.33,CC(C)(C)c1cc(O)c(C(C)(C)C)cc1O,CC1=CC=CC=C1,Toluene,0.547068571,0.082283461,CC(C)(C)c1cc(O)c(C(C)(C)C)cc1O.CC1=CC=CC=C1
219,"4,5-Dibromo-o-xylene",CB53,24932-48-7,261.8992745,CC1=CC(Br)=C(Br)C=C1C,CC1=CC=CC=C1,Toluene,0.281927552,0.045178208,CC1=CC(Br)=C(Br)C=C1C.CC1=CC=CC=C1
220,"9-(2-Ethylhexyl)carbazole-3,6-dicarboxaldehyde",CA194,169051-20-1,335.45,CCCCC(CC)Cn1c2ccc(C=O)cc2c2cc(C=O)ccc21,CC1=CC=CC=C1,Toluene,0.606839918,0.064312621,CCCCC(CC)Cn1c2ccc(C=O)cc2c2cc(C=O)ccc21.CC1=CC=CC=C1
221,"1,3,5-tribromobenzene",CB118,626-39-1,314.8,Brc1cc(Br)cc(Br)c1,CC1=CC=CC=C1,Toluene,0.165974522,0.014489381,Brc1cc(Br)cc(Br)c1.CC1=CC=CC=C1
222,"2-Ethylhexyl 2-cyano-3,3-diphenylacrylate",CA81,6197-30-4,361.48,CCCCC(CC)COC(=O)C(C#N)=C(c1ccccc1)c1ccccc1,CC1=CC=CC=C1,Toluene,0.621081711,0.014373282,CCCCC(CC)COC(=O)C(C#N)=C(c1ccccc1)c1ccccc1.CC1=CC=CC=C1
223,"2,4-Diphenyl-4-methyl-1-pentene",CJ63,6362-80-7,236.35,CC(C)(CC(=C)C1=CC=CC=C1)C2=CC=CC=C2,CC1=CC=CC=C1,Toluene,0.558243285,0.048096791,CC(C)(CC(=C)C1=CC=CC=C1)C2=CC=CC=C2.CC1=CC=CC=C1
